,Payment Number,Ending Balance No Extra,Interest No Extra,Principal No Extra,Ending Balance Extra,Interest Extra,Principal Extra
134,135,51161.593561626025,128.98045487783008,425.63157318662,32500,82.50792710492338,472.1041009595267
135,136,50734.89780726322,127.9162737016472,426.6957543628029,32000,81.25780699727304,473.35422106717704
136,137,50307.135211015666,126.84943181689125,427.76259624755886,31500,80.00768688962268,474.6043411748274
137,138,49878.30310552237,125.77992257115167,428.8321054932984,31000,78.75756678197232,475.8544612824778
138,139,49448.3988167533,124.70773929538525,429.90428876906486,30500,77.50744667432197,477.10458139012815
139,140,49017.419663992725,123.63287530387458,430.9791527605755,30000,76.25732656667161,478.3547014977785
140,141,48585.36295982246,122.55532389418636,432.05670417026374,29500,75.00720645902126,479.6048216054288
141,142,48152.226010105136,121.47507834712958,433.13694971732053,29000,73.7570863513709,480.8549417130792
142,143,47718.0061139674,120.39213192671365,434.21989613773644,28500,72.50696624372056,482.10506182072953
143,144,47282.70056378306,119.30647788010639,435.3055501843437,28000,71.2568461360702,483.3551819283799
144,145,46846.3066451562,118.21810943759189,436.3939186268582,27500,70.00672602841985,484.60530203603025
145,146,46408.82163690428,117.12701981252835,437.4850082519217,27000,68.75660592076949,485.8554221436806
146,147,45970.242811041135,116.03320220130574,438.57882586314435,26500,67.50648581311913,487.105542251331
147,148,45530.567432759985,114.93664978330334,439.6753782811468,26000,66.25636570546878,488.3556623589813
148,149,45089.792760416385,113.83735572084726,440.77467234360284,25500,65.00624559781842,489.6057824666317
149,150,44647.916045511105,112.7353131591678,441.8767149052823,25000,63.75612549016807,490.855902574282
150,151,44204.93453267301,111.63051522635665,442.98151283809347,24500,62.50600538251771,492.10602268193236
151,152,43760.84545964188,110.5229550333241,444.089073031126,24000,61.25588527486736,493.35614278958275
152,153,43315.646057251186,109.41262567375605,445.19940239069405,23500,60.00576516721701,494.6062628972331
153,154,42869.3335494108,108.29952022407099,446.3125078403791,23000,58.75564505956665,495.85638300488347
154,155,42421.90515308973,107.18363174337676,447.42839632107336,22500,57.5055249519163,497.1065031125338
155,156,41973.358078298705,106.06495327342729,448.5470747910228,22000,56.25540484426595,498.35662322018413
156,157,41523.689528072835,104.94347783857928,449.66855022587083,21500,55.00528473661559,499.6067433278345
157,158,41072.89669845413,103.81919844574861,450.7928296187015,21000,53.75516462896523,500.85686343548485
158,159,40620.97677847405,102.69210808436672,451.91991998008336,20500,52.50504452131488,502.10698354313524
159,160,40167.92695013593,101.56219972633704,453.04982833811306,20000,51.254924413664526,503.3571036507856
160,161,39713.74438839747,100.429466325991,454.18256173845907,19500,50.00480430601417,504.6072237584359
161,162,39258.426261153065,99.2939008200442,455.3181272444059,19000,48.75468419836382,505.8573438660863
162,163,38801.969729216165,98.15549612755233,456.45653193689776,18500,47.504564090713465,507.1074639737366
163,164,38344.37194630158,97.01424514986701,457.5977829145831,18000,46.25444398306311,508.357584081387
164,165,37885.63005900772,95.87014077059152,458.74188729385855,17500,45.00432387541275,509.60770418903735
165,166,37425.74120679881,94.72317585553647,459.88885220891365,17000,43.7542037677624,510.8578242966877
166,167,36964.702521987034,93.57334325267526,461.03868481177483,16500,42.504083660112045,512.107944404338
167,168,36502.51112971469,92.4206357920995,462.1913922723506,16000,41.25396355246169,513.3580645119885
168,169,36039.16414793621,91.26504628597436,463.34698177847577,15500,40.00384344481134,514.6081846196388
169,170,35574.65868740025,90.1065675284936,464.5054605359565,15000,38.753723337160984,515.8583047272891
170,171,35108.99185163164,88.94519229583483,465.6668357686153,14500,37.50360322951063,517.1084248349395
171,172,34642.160736913305,87.78091334611432,466.8311147183358,14000,36.25348312186028,518.3585449425898
172,173,34174.1624322682,86.61372341934188,467.9983046451082,13500,35.003363014209924,519.6086650502402
173,174,33704.994019441125,85.44361523737562,469.16841282707446,13000,33.753242906559564,520.8587851578906
174,175,33234.65257288055,84.27058150387657,470.34144656057356,12500,32.50312279890921,522.1089052655409
175,176,32763.135159720365,83.09461490426311,471.517413160187,12000,31.253002691258857,523.3590253731912
176,177,32290.43883976158,81.91570810566546,472.69631995878467,11500,30.002882583608503,524.6091454808416
177,178,31816.56066545401,80.73385375687985,473.87817430757025,11000,28.75276247595815,525.859265588492
178,179,31341.49768187788,79.54904448832279,475.0629835761273,10500,27.502642368307797,527.1093856961423
179,180,30865.246926725416,78.36127291198501,476.2507551524651,10000,26.25252226065744,528.3595058037927
180,181,30387.80543028235,77.17053162138549,477.4414964430646,9500,25.002402153007086,529.609625911443
181,182,29909.170215409427,75.97681319152518,478.6352148729249,9000,23.752282045356733,530.8597460190933
182,183,29429.338297523816,74.78011017884081,479.8319178856093,8500,22.502161937706376,532.1098661267438
183,184,28948.306684580526,73.58041512115834,481.03161294329175,8000,21.252041830056022,533.3599862343941
184,185,28466.072377053722,72.37772053764655,482.23430752680355,7500,20.00192172240567,534.6101063420444
185,186,27982.632367918042,71.17201892877036,483.44000913567976,7000,18.751801614755315,535.8602264496948
186,187,27497.983642629835,69.96330277624398,484.64872528820615,6500,17.501681507104962,537.1103465573451
187,188,27012.12317910837,68.75156454298418,485.86046352146593,6000,16.251561399454605,538.3604666649954
188,189,26525.047947716983,67.53679667306318,487.0752313913869,5500,15.001441291804252,539.6105867726459
189,190,26036.754911244196,66.31899159166153,488.2930364727886,5000,13.751321184153898,540.8607068802962
190,191,25547.241024884766,65.09814170502096,489.51388635942914,4500,12.501201076503543,542.1108269879466
191,192,25056.503236220713,63.87423940039698,490.73778866405314,4000,11.251080968853188,543.3609470955969
192,193,24564.538485202273,62.647277046011375,491.96475101843873,3500,10.000960861202834,544.6110672032472
193,194,24071.343704128827,61.417246991004674,493.1947810734454,3000,8.750840753552481,545.8611873108977
194,195,23576.915817629764,60.184141565388416,494.4278864990617,2500,7.500720645902126,547.111307418548
195,196,23081.251742645312,58.947953079997326,495.6640749844528,2000,6.2506005382517715,548.3614275261983
196,197,22584.348388407303,57.70867382644137,496.9033542380087,1500,5.000480430601417,549.6115476338487
197,198,22086.20265641991,56.466296077057684,498.1457319873924,1000,3.750360322951063,550.861667741499
198,199,21586.811440440324,55.2208120848624,499.3912159795877,500,2.5002402153007086,552.1117878491494
199,200,21086.171626459378,53.972214083502315,500.6398139809478,0,1.2501201076503543,553.3619079567998
200,201,20584.280092682133,52.720494287206485,501.89153377724364,0,0.0,0.0
201,202,20081.13370950842,51.465644890737664,503.1463831737124,0,0.0,0.0
202,203,19576.729339513313,50.20765806934365,504.40436999510644,0,0.0,0.0
203,204,19071.06383742757,48.946525978708465,505.66550208574165,0,0.0,0.0
204,205,18564.134050118024,47.68224075490347,506.9297873095466,0,0.0,0.0
205,206,18055.93681656791,46.414794514338304,508.1972335501118,0,0.0,0.0
206,207,17546.468967857174,45.14417935371175,509.46784871073834,0,0.0,0.0
207,208,17035.727327142686,43.87038734996242,510.7416407144877,0,0.0,0.0
208,209,16523.708709638457,42.5934105602194,512.0186175042307,0,0.0,0.0
209,210,16010.40992259576,41.313241021752646,513.2987870426974,0,0.0,0.0
210,211,15495.827765283233,40.029870751923426,514.5821573125266,0,0.0,0.0
211,212,14979.959028966918,38.743291748134446,515.8687363163157,0,0.0,0.0
212,213,14462.800496890248,37.45349598778004,517.1585320766701,0,0.0,0.0
213,214,13944.348944253994,36.160475428196065,518.4515526362541,0,0.0,0.0
214,215,13424.601138196154,34.864222006609815,519.7478060578403,0,0.0,0.0
215,216,12903.553837771793,33.56472764008969,521.0473004243604,0,0.0,0.0
216,217,12381.203793932838,32.261984225494835,522.3500438389552,0,0.0,0.0
217,218,11857.547749507812,30.95598363942459,523.6560444250255,0,0.0,0.0
